City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
120,along,IN,2021-11-29 22:00:49,28.1667,94.7667,52.12,66,81,1.86,broken clouds,0.0,0
121,saint-augustin,CA,2021-11-29 22:00:28,51.226,-58.6502,33.62,75,100,4.72,overcast clouds,0.0,0
122,husainabad,IN,2021-11-29 22:00:50,24.5333,84.0167,58.15,50,67,4.43,broken clouds,0.0,0
123,karratha,AU,2021-11-29 22:00:51,-20.7377,116.8463,80.49,66,2,9.15,light rain,0.0,0
124,sibolga,ID,2021-11-29 22:00:52,1.7427,98.7792,74.53,88,99,2.17,overcast clouds,0.0,0
125,shemordan,RU,2021-11-29 22:00:52,56.1856,50.3972,34.21,96,100,21.77,light snow,0.0,0
126,hamilton,US,2021-11-29 21:57:41,39.1834,-84.5333,43.43,38,51,1.01,broken clouds,0.0,0
127,tucuma,BR,2021-11-29 22:00:54,-0.1833,-50.05,79.74,79,84,7.2,broken clouds,0.0,0
128,gat,IL,2021-11-29 22:00:55,31.61,34.7642,76.78,28,38,9.62,scattered clouds,0.0,0
129,rincon,US,2021-11-29 22:00:55,32.296,-81.2354,57.65,54,40,5.75,scattered clouds,0.0,0
130,saint-joseph,RE,2021-11-29 22:00:56,-21.3667,55.6167,75.56,85,35,8.1,scattered clouds,0.0,0
131,alyangula,AU,2021-11-29 22:00:56,-13.8483,136.4192,85.19,64,17,2.17,few clouds,0.0,0
132,acarau,BR,2021-11-29 21:56:56,-2.8856,-40.12,81.09,78,74,16.42,broken clouds,0.0,0
133,kaitangata,NZ,2021-11-29 22:00:57,-46.2817,169.8464,61.93,56,100,4.16,overcast clouds,0.0,0
134,mayo,US,2021-11-29 22:00:58,38.8876,-76.5119,44.31,57,72,7.0,broken clouds,0.0,0
135,narok,KE,2021-11-29 22:00:59,-1.0783,35.8601,58.77,92,97,5.97,overcast clouds,0.0,0
136,kuala lipis,MY,2021-11-29 22:01:00,4.1842,102.0468,72.86,96,100,0.27,overcast clouds,0.0,0
137,bandar-e lengeh,IR,2021-11-29 22:01:00,26.5579,54.8807,73.18,61,0,2.04,clear sky,0.0,0
138,presidencia roque saenz pena,AR,2021-11-29 22:01:01,-26.7852,-60.4388,76.23,59,0,3.11,clear sky,0.0,0
139,thompson,CA,2021-11-29 22:00:25,55.7435,-97.8558,28.33,94,96,7.25,overcast clouds,0.0,0
140,sambava,MG,2021-11-29 22:01:02,-14.2667,50.1667,75.51,84,35,6.13,light rain,0.0,0
141,atuona,PF,2021-11-29 22:01:03,-9.8,-139.0333,78.89,76,25,22.82,scattered clouds,0.0,0
142,cap-aux-meules,CA,2021-11-29 22:01:03,47.3821,-61.8597,39.56,97,100,26.33,light rain,0.0,0
143,bayir,TR,2021-11-29 22:01:04,37.2687,28.2167,61.32,92,100,5.7,overcast clouds,0.0,0
144,fort-shevchenko,KZ,2021-11-29 22:01:05,44.5086,50.263,47.46,58,1,16.6,clear sky,0.0,0
145,la baule-escoublac,FR,2021-11-29 22:01:05,47.2922,-2.364,36.81,100,90,0.0,fog,0.0,0
146,victoria,HK,2021-11-29 21:57:05,22.2855,114.1577,71.33,71,1,10.0,clear sky,0.0,0
147,pangnirtung,CA,2021-11-29 22:01:07,66.1451,-65.7125,17.87,93,100,5.1,overcast clouds,0.0,0
148,achutupo,PA,2021-11-29 22:01:07,9.2,-77.9833,81.73,82,100,6.62,overcast clouds,0.0,0
149,ixtapa,MX,2021-11-29 22:01:08,20.7,-105.2,83.23,71,1,5.01,clear sky,0.0,0
150,sadiqabad,PK,2021-11-29 22:01:09,28.3062,70.1307,64.27,30,0,7.11,clear sky,0.0,0
151,paamiut,GL,2021-11-29 22:01:09,61.994,-49.6678,32.52,97,100,31.03,snow,0.0,0
152,te anau,NZ,2021-11-29 22:01:10,-45.4167,167.7167,60.19,54,78,1.9,broken clouds,0.0,0
153,waddan,LY,2021-11-29 22:01:11,29.1614,16.139,55.02,14,5,8.7,clear sky,0.0,0
154,narsaq,GL,2021-11-29 22:01:04,60.9167,-46.05,35.82,99,100,9.66,moderate rain,0.0,0
155,taveta,KE,2021-11-29 22:01:12,-3.3963,37.6736,71.01,86,81,6.35,broken clouds,0.0,0
156,namatanai,PG,2021-11-29 22:01:12,-3.6667,152.4333,83.34,72,96,11.65,overcast clouds,0.0,0
157,youhao,CN,2021-11-29 22:01:13,47.8667,128.8333,1.33,99,89,0.18,overcast clouds,0.0,0
158,ranong,TH,2021-11-29 22:01:13,9.9658,98.6348,73.71,96,100,6.87,moderate rain,0.0,0
159,berlevag,NO,2021-11-29 22:01:14,70.8578,29.0864,17.55,73,95,42.57,overcast clouds,0.0,0
160,saint-philippe,RE,2021-11-29 22:01:15,-21.3585,55.7679,76.55,86,59,7.94,broken clouds,0.0,0
161,lebu,CL,2021-11-29 22:01:16,-37.6167,-73.65,56.53,79,81,18.81,broken clouds,0.0,0
162,dikson,RU,2021-11-29 22:01:16,73.5069,80.5464,-14.39,96,100,16.24,overcast clouds,0.0,0
163,butaritari,KI,2021-11-29 22:01:17,3.0707,172.7902,81.37,80,55,11.01,light rain,0.0,0
164,doksy,CZ,2021-11-29 22:01:18,50.5647,14.6555,35.33,87,99,8.23,light snow,0.0,0
165,sicuani,PE,2021-11-29 22:01:18,-14.2694,-71.2261,56.25,63,96,10.36,overcast clouds,0.0,0
166,arraial do cabo,BR,2021-11-29 22:01:19,-22.9661,-42.0278,75.02,88,29,18.9,scattered clouds,0.0,0
167,bonfim,BR,2021-11-29 22:01:19,3.0833,-59.95,85.14,55,78,7.54,broken clouds,0.0,0
